สัญลักษณ์,ความหมาย/ธุรกิจที่เกี่ยวข้อง,ราคาล่าสุด,เปลี่ยนแปลงวันนี้ %,สูงสุด 52 สัปดาห์,ต่ำสุด 52 สัปดาห์,แนวโน้ม 90 วัน,เทียบค่าเฉลี่ย 30 วัน (%)
BKK:TU,ประมง/อาหารทะเลแปรรูป,"=GOOGLEFINANCE(A12,""price"")","=GOOGLEFINANCE(A12,""changepct"")","=GOOGLEFINANCE(A12,""high52"")","=GOOGLEFINANCE(A12,""low52"")","=SPARKLINE(INDEX(GOOGLEFINANCE(A12,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C12/AVERAGE(INDEX(GOOGLEFINANCE(A12,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
BKK:ASIAN,ประมง/อาหารทะเลแปรรูป,"=GOOGLEFINANCE(A13,""price"")","=GOOGLEFINANCE(A13,""changepct"")","=GOOGLEFINANCE(A13,""high52"")","=GOOGLEFINANCE(A13,""low52"")","=SPARKLINE(INDEX(GOOGLEFINANCE(A13,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C13/AVERAGE(INDEX(GOOGLEFINANCE(A13,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
BKK:TVO,น้ำมันพืช,"=GOOGLEFINANCE(A14,""price"")","=GOOGLEFINANCE(A14,""changepct"")","=GOOGLEFINANCE(A14,""high52"")","=GOOGLEFINANCE(A14,""low52"")","=SPARKLINE(INDEX(GOOGLEFINANCE(A14,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C14/AVERAGE(INDEX(GOOGLEFINANCE(A14,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
BKK:PTT,ต้นทุนพลังงาน (ทุกธุรกิจ),"=GOOGLEFINANCE(A15,""price"")","=GOOGLEFINANCE(A15,""changepct"")","=GOOGLEFINANCE(A15,""high52"")","=GOOGLEFINANCE(A15,""low52"")","=SPARKLINE(INDEX(GOOGLEFINANCE(A15,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C15/AVERAGE(INDEX(GOOGLEFINANCE(A15,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
DBA,ดัชนีสินค้าเกษตรโลก (ต้นทุนรวม),"=GOOGLEFINANCE(A16,""price"")","=GOOGLEFINANCE(A16,""changepct"")","=GOOGLEFINANCE(A16,""high52"")","=GOOGLEFINANCE(A16,""low52"")","=SPARKLINE(INDEX(GOOGLEFINANCE(A16,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C16/AVERAGE(INDEX(GOOGLEFINANCE(A16,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
MOS,ราคาปุ๋ยโลก,"=GOOGLEFINANCE(A17,""price"")","=GOOGLEFINANCE(A17,""changepct"")","=GOOGLEFINANCE(A17,""high52"")","=GOOGLEFINANCE(A17,""low52"")","=SPARKLINE(INDEX(GOOGLEFINANCE(A17,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C17/AVERAGE(INDEX(GOOGLEFINANCE(A17,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
NTR,ราคาปุ๋ยโลก,"=GOOGLEFINANCE(A18,""price"")","=GOOGLEFINANCE(A18,""changepct"")","=GOOGLEFINANCE(A18,""high52"")","=GOOGLEFINANCE(A18,""low52"")","=SPARKLINE(INDEX(GOOGLEFINANCE(A18,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C18/AVERAGE(INDEX(GOOGLEFINANCE(A18,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
CURRENCY:USDTHB,อัตราแลกเปลี่ยน - ผู้ส่งออก/นำเข้า (USD),"=GOOGLEFINANCE(A19,""price"")",,,,"=SPARKLINE(INDEX(GOOGLEFINANCE(A19,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C19/AVERAGE(INDEX(GOOGLEFINANCE(A19,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
CURRENCY:CNYTHB,อัตราแลกเปลี่ยน - ผู้ส่งออก/นำเข้า (CNY),"=GOOGLEFINANCE(A20,""price"")",,,,"=SPARKLINE(INDEX(GOOGLEFINANCE(A20,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C20/AVERAGE(INDEX(GOOGLEFINANCE(A20,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
CURRENCY:JPYTHB,อัตราแลกเปลี่ยน - ผู้ส่งออก/นำเข้า (JPY),"=GOOGLEFINANCE(A21,""price"")",,,,"=SPARKLINE(INDEX(GOOGLEFINANCE(A21,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C21/AVERAGE(INDEX(GOOGLEFINANCE(A21,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
CURRENCY:EURTHB,อัตราแลกเปลี่ยน - ผู้ส่งออก/นำเข้า (EUR),"=GOOGLEFINANCE(A22,""price"")",,,,"=SPARKLINE(INDEX(GOOGLEFINANCE(A22,""price"",TODAY()-90,TODAY(),""DAILY""),,2))","=IFERROR(C22/AVERAGE(INDEX(GOOGLEFINANCE(A22,""price"",TODAY()-30,TODAY(),""DAILY""),,2))-1,"""")"
